Accper,Stkcd,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2012-12-31,600111,C32,54.225896999999996,54.225896999999996,54.225896999999996,9.814758,9.814758,9.814758,,,,9.130932000000001,5.316918,60.054643000000006,60.054643000000006,60.054643000000006,13.498002,66988051420.0,98421538892.0,3.795386,3.926661,5.576333,5.769209,0.26347800000000005,0.179329,197.10526299999998,0.005072999999999999,0.00029,26.418609000000004,26.418609000000004
2012-09-30,600111,C32,14.682159,29.773905,32.900962,7.143271,7.475262,8.489417,42.278042,262.41062,1140.967683,8.040113999999999,4.885382,23.674373000000003,36.557108,40.397653000000005,11.928460000000001,61466544173.0,89528111393.0,3.528313,3.646501,5.139108,5.311253,0.283422,0.19458599999999998,,0.0,-0.096466,21.184037,19.846166
2012-06-30,600111,C32,17.039941,25.936237,21.465591,8.290396000000001,7.5886759999999995,8.067842,49.067398,35.145713,46.150476,9.411996,5.810653,27.476198999999998,30.446181,31.118571000000003,14.092526000000001,69149234894.0,102391000000.0,4.0742970000000005,4.204102,6.03294,6.225146,0.245441,0.165757,,0.0,0.048631,26.100684,11.180713
2012-03-31,600111,C32,14.414426,12.919186999999999,12.540319,7.013011,5.661265,6.227461,41.507089,,123.88238,7.5945,4.48054,23.242664,16.746372,19.242583,11.817075,61451023188.0,88771265191.0,3.309332,3.4055800000000005,4.780613,4.919651999999999,0.302176,0.20917800000000003,,0.0,0.774116,30.330816,7.254074
2011-12-31,600111,C32,8.124848,8.124848,8.124848,3.95296,3.95296,3.95296,23.395922,23.395922,23.395922,5.020065,3.209046,13.10098,13.10098,13.10098,8.089311,37017864702.0,51219667282.0,2.513668,2.60676,3.4780300000000004,3.606837,0.397825,0.287519,175.023256,0.005714,-0.467551,4.873972,4.873972
2011-09-30,600111,C32,48.57881,9.643321,11.869322,12.667745,4.950804,5.703675,70.599489,23.664012,24.873614,7.652792,4.763212,88.720887,15.962907999999999,20.335827,12.581067,49877121274.0,72410808024.0,3.437877,3.566864,4.991055,5.178317,0.290877,0.20035799999999998,,0.0,-0.230123,6.919237,6.356922
2011-06-30,600111,C32,63.090625,14.42265,22.686319,16.451946,7.233774,9.709827,91.689482,34.977121000000004,46.528054,13.085778,7.199733999999999,115.22423500000001,21.880766,36.445275,20.891543,61338543222.0,92430012201.0,4.892526,5.105253,7.372464999999999,7.6930190000000005,0.20439300000000002,0.13564,,0.0,-0.00014,15.109326999999999,11.513889
2011-03-31,600111,C32,51.434655,24.275222,37.27941,13.412455,8.331932,11.028442,74.749883,28.109825,45.68566,14.096207999999999,7.627731,93.936599,36.436885,63.748959,24.271679000000002,49775605903.0,75273272714.0,5.1029290000000005,5.383792,7.716916,8.141651,0.195966,0.12958499999999998,,0.0,0.22270399999999999,51.911576000000004,19.071822
2010-12-31,600111,C32,42.066305,42.066305,42.066305,10.9695,10.9695,10.9695,61.134879000000005,61.134879000000005,61.134879000000005,13.50366,6.974891,76.826911,76.826911,76.826911,23.870498,41411685606.0,62195314380.0,4.7114519999999995,5.007928,7.076027000000001,7.521299000000001,0.21224899999999997,0.141322,1786.0,0.00056,1.605957,19.43463,19.43463
2010-09-30,600111,C32,565.372053,49.525859000000004,57.543519999999994,23.931285,12.679778,13.209481,,123.562278,156.08953200000002,16.086441,8.230029,1112.6921300000001,76.944497,92.030649,27.383036999999998,43636990054.0,66284553042.0,5.394446,5.787553,8.19416,8.791288,0.18537599999999999,0.12203800000000001,,0.0,1.803063,33.207234,28.682778000000003
2010-06-30,600111,C32,261.20689100000004,25.73745,36.961342,11.056465,6.156825,7.137917999999999,,44.677509,,9.59409,4.464019,514.073609,40.501540999999996,60.11780400000001,14.255644,22323445763.0,32317485019.0,3.363614,3.475969,4.869479,5.032133999999999,0.297299,0.20536100000000002,,0.0,0.29504,25.863823999999997,17.586783999999998
2010-03-31,600111,C32,206.40567,27.538457,53.946312,8.736818,5.7826379999999995,7.084428999999999,,209.72340499999999,,8.379806,3.901044,406.220937,44.122811999999996,86.124814,12.413034,18211682670.0,25975814724.0,3.0226580000000003,3.136046,4.311299,4.473028,0.330835,0.231949,,0.0,0.023341,60.569880000000005,27.27702
2009-12-31,600111,C32,201.697914,201.697914,201.697914,8.537546,8.537546,8.537546,,,,8.868822,3.546268,396.955741,396.955741,396.955741,13.052194,18461167570.0,26104900451.0,2.85621,2.957348,4.038806,4.18182,0.350114,0.247598,609.333333,0.001641,2.907624,42.488692,42.488692
2009-09-30,600111,C32,95.06949300000001,,,6.752606,10.429972,9.436313,,,,9.267746,3.684421,128.738986,,,13.356353,17978948615.0,25538364112.0,2.9407900000000002,3.0422290000000003,4.177272,4.321362000000001,0.340045,0.239391,,0.0,2.8418799999999997,221.37720299999998,
2009-06-30,600111,C32,68.314675,,,4.8522620000000005,8.646792,5.515683,,50.760918,423.28766399999995,6.893901,2.658169,92.508771,,,9.923456,14264688155.0,19470468510.0,2.340905,2.423429,3.195198,3.307839,0.42718500000000004,0.31296999999999997,,0.0,1.760684,504.41090499999996,201.773171
2009-03-31,600111,C32,65.811918,,,4.6744959999999995,10.059044,5.21937,,36.794117,,7.1022110000000005,2.735859,89.119647,,,9.667485000000001,12332085384.0,18660334504.0,2.159935,2.2383349999999997,3.268313,3.386944,0.462977,0.30596799999999996,,0.0,1.659544,,154.520593
