,Stkcd,Accper,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
161706,002428,2020-03-31,C32,,758.822468,,13.687755,8.861222999999999,12.00681,,,,3.8602300000000005,3.087797,,1164.5399949999999,,3.99985,6419360250.0,6476583829.0,2.875368,3.460572,2.9010000000000002,3.491421,0.34778200000000004,0.344709,,0.0,0.030552,941.655412,
161735,300489,2019-12-31,C32,,,,14.09729,14.09729,14.09729,53.525118000000006,53.525118000000006,53.525118000000006,5.140865,3.970222,,,,5.140865,1648495637.0,1958879408.0,3.34688,3.595217,3.97704,4.272135,0.298786,0.25144299999999997,,0.0,0.7174659999999999,,
161829,002460,2019-12-31,C32,127.397552,127.397552,127.397552,8.428237,8.428237,8.428237,67.267626,67.267626,67.267626,5.353125,3.251321,125.732855,125.732855,125.732855,5.3883779999999994,36482247576.0,50824036829.0,2.566817,2.6346540000000003,3.575876,3.67038,0.389588,0.279652,,0.0,0.577446,47.29461,47.29461
161834,002160,2019-12-31,C32,112.295899,112.295899,112.295899,0.5695,0.5695,0.5695,9.167092,9.167092,9.167092,0.814902,0.48371400000000003,112.20298600000001,112.20298600000001,112.20298600000001,0.8149930000000001,5521184390.0,5441504697.0,0.9199360000000001,1.0828659999999999,0.90666,1.067238,1.087032,1.10295,,0.0,-0.159892,33.656074,33.656074
161950,002333,2020-03-31,C32,52.273771,,,2.988328,6.026019,3.267918,103.158941,,125.61252900000001,1.708709,1.7187240000000001,43.389178,,,1.71233,2180151488.0,2211089183.0,1.640077,1.7624900000000001,1.6633509999999998,1.7875009999999998,0.609727,0.601196,,0.0,-0.06,,
162028,300697,2020-03-31,C32,22.433364,48.442387,25.961028,1.541825,3.0053229999999997,1.7009189999999998,18.028499,23.303957,13.879529000000002,3.4986040000000003,2.375378,22.446443,48.243445,25.964191,3.508372,1759169485.0,3310007690.0,1.416146,1.443238,2.6645830000000004,2.715559,0.706142,0.375293,,0.0,-0.07508300000000001,76.36793,11.672566999999999
162143,600392,2020-03-31,C32,108.371334,169.567941,131.095721,1.742679,1.7057529999999999,1.695238,18.746913,,18.209661999999998,2.218239,1.377312,119.45236899999999,281.789773,156.365303,2.305102,15944567931.0,16329273745.0,1.649115,1.8107090000000001,1.6889040000000002,1.854397,0.606386,0.5921,,0.0,-0.238148,284.741115,52.333556
162147,600392,2019-12-31,C32,142.247178,142.247178,142.247178,2.287423,2.287423,2.287423,24.607019,24.607019,24.607019,2.905555,1.855437,156.792038,156.792038,156.792038,3.016122,17981107870.0,19889915808.0,1.9028650000000003,2.0957369999999997,2.104866,2.318213,0.525523,0.47508999999999996,,0.0,0.053426,41.835939,41.835939
162428,000657,2019-12-31,C32,30.256724,30.256724,30.256724,0.74571,0.74571,0.74571,9.974719,9.974719,9.974719,1.558057,0.885318,48.930285999999995,48.930285999999995,48.930285999999995,1.8264779999999998,9213487487.0,9475020758.0,1.259421,1.352984,1.2951700000000002,1.39139,0.7940159999999999,0.772099,,0.0,0.287594,12.748698,12.748698
162463,000657,2020-03-31,C32,23.940357000000002,17.510091,21.912992000000003,0.590036,0.69294,0.601368,7.892405,,8.886097999999999,1.210992,0.615537,38.715641999999995,23.54978,34.439084,1.422685,8959168457.0,9059830424.0,1.08877,1.156066,1.1010030000000002,1.169055,0.9184680000000001,0.9082629999999999,,0.0,-0.20875900000000003,86.33236099999999,26.036533
